player_id,team_id,full_name,position,country,birth_date,shirt_number
1,1,Noah Nunez,GK,Germany,1997-06-24,18
2,1,George Silva,GK,Spain,1995-07-20,6
3,1,Kevin Brown,GK,Uruguay,1996-01-19,23
4,1,Bukayo Fernandes,DF,Egypt,1988-12-21,30
5,1,Pedro Brown,DF,Spain,1996-06-27,19
6,1,Phil Sterling,DF,Italy,1996-02-10,13
7,1,Trent Williams,DF,Norway,1989-01-10,15
8,1,Raheem Salah,DF,Uruguay,1989-10-15,15
9,1,Jack Rodriguez,DF,Netherlands,1994-03-27,24
10,1,Noah Mbappe,DF,Brazil,1995-12-20,18
11,1,Trent Son,DF,Spain,2002-07-14,11
12,1,Pedro Diaz,MF,France,1993-06-28,30
13,1,Kevin Fernandes,MF,Egypt,2002-05-09,15
14,1,Declan Haaland,MF,Brazil,1989-04-03,3
15,1,Mohamed Rodriguez,MF,Spain,1994-01-02,14
16,1,Marcus Nunez,MF,Brazil,1995-01-21,32
17,1,Kevin Kane,MF,France,1998-04-16,17
18,1,George Santos,MF,Belgium,2000-08-03,17
19,1,Jordan Foden,FW,Italy,1997-08-10,26
20,1,Bruno Santos,FW,Belgium,1991-02-07,32
21,1,Harry Jones,FW,France,1990-06-17,11
22,1,Declan Mueller,FW,Spain,2001-05-17,25
23,1,Kevin Sterling,FW,Belgium,1998-07-01,17
24,2,Pedro Smith,GK,Egypt,2003-04-04,8
25,2,Declan Rice,GK,Croatia,1993-12-25,22
26,2,Jack Salah,GK,France,1997-10-01,30
27,2,James Diaz,DF,Belgium,1993-11-27,12
28,2,Vinicius Brown,DF,Portugal,2002-01-09,33
29,2,Bukayo Silva,DF,Germany,1991-06-06,11
30,2,Pedro Saka,DF,Italy,1988-01-05,21
31,2,Kylian Smith,DF,Germany,1990-07-05,20
32,2,Mason Jones,DF,Italy,1993-05-27,6
33,2,Harry Diaz,DF,Uruguay,1998-11-25,5
34,2,Raheem Rice,DF,France,1990-10-27,31
